"idarticle","abstract","title","publisher","active","year"
"85065623080","High concentrations of total arsenic (As), even above the Brazilian legislative threshold for marine sediments of 70 mg kg−1, were found in beach sands and near-shore surface sediments. Two mechanisms (anthropogenic activities and sedimentary processes in the coastal waters) are responsible for this contamination. The anthropogenic impact includes releases from metallurgical plants, phosphate fertilizer plants and gold and iron mining. In the coastal area sedimentary processes redistributed the As from the sediment into the porous structure of calcareous marine algae. These enriched calcareous algae are transported over time to the beach by wave action. As in the Brazilian coastal environment, increased As levels were also observed in other coastal environments of South America such as Rio Loa (Chile), Barbacoas Bay (Colombia) and the Southern Pampa region (Argentina). Finally, arsenic levels in fish from Brazilian coastal waters and North Sea, which is also an As-contaminated area, were compared. In both areas, short term health effects from fish consumption are not expected, but a lifetime cancer risk cannot be excluded. © 2019 Elsevier B.V.","Arsenic enrichment in sediments and beaches of Brazilian coastal waters: A review","Elsevier B.V.",True,"2019"
"85028950368","There have been an increasing number of government policies and research activities aimed at the exploitation of renewable energy resources to diversify power supply and meet the growing demand for electricity. In the context of Brazil, an example of this is tidal energy, which has a significant potential and is mainly concentrated on the coast of the States of Maranhão, Pará, and Amapá. However, only a few studies have been conducted to evaluate and take advantage of this energy source. One of the works in progress involves the study of a tidal power plant installation at the dam situated at Bacanga. This paper outlines and analyzes the configuration management of a tidal power plant, which is suited to the current physical conditions of the dam and complies with operational and physical constraints. In specific terms, the study takes account the reservoir operating restrictions and available physical space for installing turbines. A recent assessment has been carried out that involves bathymetry, high-resolution photos, and 3-D scanning to evaluate the potential value of the reservoir. This allowed a complete reservoir characterization and the designing of its digital model. Annual studies of optimal operation are reported, as well as factors, such as the technical and economic benefits and drawbacks of the plant. © 2017 IEEE.","Analysis of a Tidal Power Plant in the Estuary of Bacanga in Brazil Taking Into Account the Current Conditions and Constraints","Institute of Electrical and Electronics Engineers Inc.",True,"2017"
"85085776356","Partnerships and JV are quite common in the Oil and Gas industry. In the offshore activity, in order to reduce the risks of capital intensive projects oil companies used cooperate entering into JV agreements. In addition, local content requirements and entry barriers in new markets, are some reasons to create partnerships between international and domestic companies. Brazil is not different. It is a market that has some challenges in which the cooperation with a local partner could reduce the risks for a foreign investor. In the oil companies' side, Petrobras is the target partner for an international oil company, because of its technical reputation and successful implementation of ultra-deep operations. In other segments, Petrobras, can be the main client, sole supplier or big competitor. Petrobras is subject also to laws and regulations to hire contractors, there are local content requirements regulations, industry-specific tax, fiscal and customs regimes, among other risks and opportunities in which the cooperation with a domestic company could help to solve in a more efficient way. The author of this paper describes the advantages of the partnership for international and domestic companies which want to invest in Brazil in the several perspectives along the oil and gas supply chain. © 2019, Offshore Technology Conference","Partnerships & joint ventures in Brazilian oil and gas markets","Offshore Technology Conference",True,"2020"
"85050643252","As the operator of several exploratory blocks in ultradeep waters, Petrobras was responsible for many presalt oil discoveries in Santos Basin such as Tupi, Carioca, Guará, and Iara. In partnership with the National Petroleum, Natural Gas and Biofuels Agency (ANP), Petrobras drilled well 2-ANP-2A, which resulted in the Libra discovery. In 2013, Libra was offered in the first bidding round executed by the Brazilian government under the new Production Sharing Contract for presalt areas. The winning consortium is comprised of Petrobras (operator), Shell, Total, CNOOC (China National Offshore Oil Corporation), CNPC (China National Petroleum Corporation), and PPSA (Pré-Sal Petróleo S.A.). The Libra discovery is sitting over a structural trap of about 550 km2 (212 mi2) closure at the Aptian top reservoirs level presenting a maximum oil column that can reach up to 900 m (2953 ft). The main reservoirs are lacustrine carbonates, deposited from the Neobarremian until the Aptian. Preliminary estimates indicate a volume of oil in place between 8 and 12 billion BOE. The development proposed for Libra started with Phase 0, in 2014, and is focused on information gathering, including appraisal wells, extended well tests (EWT), early production systems (EPS), and a pilot project. Phase 1 encompasses the definitive production systems and is expected to start in 2022 and finish in 2030. Copyright ©2017 by The American Association of Petroleum Geologists.","Libra: A newborn giant in the brazilian presalt province","American Association of Petroleum Geologists",True,"2017"
"2342418572","This article presents the development of a computational tool to guide horizontal gravel pack design for long horizontal offshore wells. Mechanistic model formulation, experimentation at a large scale flow loop and software development are detailed. The computer simulation results are then compared with field data collected in Campos Basin operations, offshore Brazil. A discussion on design alternatives for long horizontal well at low frac gradient formations is presented. This discussion includes a sensibility analysis on screen eccentricity, open and closed BOP configurations and alpha vs alpha plus beta wave displacement options.","Experimental and Theoretical Simulation of Gravel Pack Displacement in Extended Horizontal Offshore Wells","Society of Petroleum Engineers (SPE)",True,"2004"
"85055025955","Giant deepwater oilfields had been discovered in Campos Basin, offshore Brazil, through the eighties. After overcoming initial problems while drilling the exploratory wells, appraisal wells were drilled under regular performance standards, comparing to shallow water previous data. At that time, Albacora and Marlim field development plans were considering improved performances to occur due to the expected learning effects. The combination of the simultaneous use of dynamic positioned and deep anchored rigs with the technical improvements in well operations resulted in an outstanding overall drilling performance for the development campaign of those fields. The drilling program was concluded well ahead of schedule, establishing guidelines for future deepwater field exploitation. This paper describes Petrobras experience of planning and drilling deepwater development wells, showing the principal measures and factors that led to an update of our operational standards. Also, the ultra deepwater drilling R&D projects carried out at the moment are briefly introduced, being their aims to keep or even improve our performance and safety records as water depths up to 2,000 m are considered for oifield developments offshore Brazil in the future. © 1995, Offshore Technology Conference.","Drilling optimization in deepwater field development offshore Brazil","Offshore Technology Conference",True,"1995"
"85061767810","The discovery of large oil accumulations in the rift and sag Pre-Salt sections of the Campos and Santos Basins has revived interest in the exploration of the lacustrine carbonate reservoirs in the Brazilian and African marginal basins. More than half of Brazilian oil production originates from the Pre-Salt reservoirs of these offshore basins. A study integrating systematic petrography, cathodoluminescence, scanning electron microscopy, microprobe and X-ray diffraction was performed on seven wells in the northern Campos Basin. This study highlights the major primary, diagenetic and hydrothermal features of the Pre-Salt succession, with the aim to improve our understanding of the factors that influence the porosity and permeability distribution in these important lacustrine carbonate reservoirs. The Pre-Salt deposits correspond to bioclastic grainstones and rudstones, syngenetic crusts of fascicular calcite, and intraclastic grainstones and rudstones of reworked crust fragments and calcite spherulites. Magnesian silicates are frequently associated with carbonate deposits. In the sag phase, stevensitic laminations constitute the substrate for the precipitation of calcite crusts and spherulites, which displace and replace the syngenetic magnesian clay deposits. In the rift section, stevensitic ooids are mixed with bioclasts or form ooidal arenites. Pre-Salt carbonate reservoirs have undergone a complex and heterogeneous diagenetic evolution. Eodiagenetic processes include the dissolution, neomorphism and cementation of bivalve bioclasts in the rift, as well as the dissolution of magnesian silicates and their replacement by calcite spherulites, silica and dolomite in the sag section. Burial alterations are commonly associated with hydrothermal fluids carried through faults and fracture systems. These fluids promote dolomitization, silicification, and dissolution at varying degrees and intensities. Eodiagenetic precipitation and dissolution owing to variations in the lake water chemistry and the episodic flow of hydrothermal fluids under burial conditions control the creation, redistribution, and obliteration of porosity in the Pre-Salt reservoirs. © 2019 Elsevier B.V.","Deposition, diagenetic and hydrothermal processes in the Aptian Pre-Salt lacustrine carbonate reservoirs of the northern Campos Basin, offshore Brazil","Elsevier B.V.",True,"2019"
"84893067779","Brazilian offshore scenario requires innovative solutions in order to increase the efficiency of operations, while still keeping the safety and the economical constraints. The global market and naval industry cannot meet the demand of the growing exploration activities, related to the recent discovery of new oil fields. Furthermore, they are located at a large distance from the shore (approximately 300km) and the environmental conditions are severe. These facts impose more logistics problems for materials and persons transportations. The retrofitting of vessels is an alternative for increasing their operability and this option has been studied by Transpetro, subsidiary of Petrobras responsible for the Ducts, Terminals, Maritime Transport and Natural Gas segments. This paper presents two real cases of retrofitting related to the application of new technologies for positioning, including Dynamic Positioning (DP) Systems or manually operated thrusters. In the first case, a conventional tanker will be converted to a DP2 tanker, in order to operate close to drill ships and to transfer fluids during the drilling operation. The second case is related to an offshore delivering vessel used for bunkering operation. This vessel is moored at a monobuoy, and up to 2 receiving vessels may be connected to it. An aft-azimuth thruster will be installed in the vessel, increasing its capacity to change heading in harsh environmental conditions and to keep a safe distance from the monobuoy during fast variations of environmental conditions. Both cases require the application of a comprehensive design methodology for thruster dimensioning. The retrofitting imposes tight constraints to the layout and positioning of the thrusters. Also, the proximity to others vessels and the harsh environmental conditions in the offshore fields requires a combination of static and dynamic calculation in order to evaluate power consumption and drift motions of the vessels. Copyright © 2013 by ASME.","Thrusters dimensioning for Vessel's stationkeeping close to other floating structures: Two case studies",NULL,True,"2013"
"85102272621","Central Brazil hydroclimate is in the core region of the South American monsoon system. Thus, understanding precipitation variability in this area is crucial not only for the prediction of extreme events such as droughts and floods, but also for water resources management. Ocean teleconnections influence central Brazil precipitation from intraseasonal to interdecadal frequencies, in both linear and nonlinear ways, mainly during the austral summer. Pacific Ocean climate modes can influence South American precipitation, but how its variability changes over time is still a theme of scientific debate. Here we examined the influence of Pacific variability on summer precipitation in central Brazil during the last eight decades. We applied nonparametric spectral methods to four different observational datasets, and to AMIP-type precipitation outputs from the Laboratoire de Météorologie Dynamique zoom model (LMDZ) in Coupled Model Intercomparison Project phases 5 and 6 (CMIP5 and CMIP6) contributions of the Institut Pierre Simon Laplace (IPSL) coupled model. Our results showed an increase in amplitude and frequency of summer precipitation variability after the 1970s climate transition. Spectral analysis associated these changes to a transition in Pacific Ocean influence to central Brazil precipitation, from PDO- to El Niño–Southern Oscillation (ENSO)-related variability after the 1970s climate transition. Composite analysis suggests these changes are related to teleconnection patterns between the Pacific Ocean and South America precipitation. © 2021 Royal Meteorological Society","Changes in summer precipitation variability in central Brazil over the past eight decades","John Wiley and Sons Ltd",True,"2021"
"17144436283","Most of Brazilian oil and gas reserves are located in offshore deep waters. In this scenario, high well productivity is essential. Artificial lift will certainly play an important role in the exploitation of those deep water fields. This paper describes the most important artificial lift methods, their main characteristics and application niches. It also shows what Petrobras is currently doing in order to make them available for subsea use. The following methods are analyzed: gas lift; electrical submersible pump; hydraulic jet pump; progressing cavity pump; multiphase pump; subsea separation system.","Advances in artificial lift and boosting systems for subsea completion","Offshore Technol Conf, Richardson",True,"1997"
"85097758556","The continental margin of Brazil in intraplate South America exhibits a seismicity rate 70% higher than the average stable continental regions. This margin encompasses Northeastern Brazil, where most of the seismicity and active faults concentrate along the coast. The current study presents an integration of high-resolution aeromagnetic, seismological, and geological data to investigate the relationship between the seismicity and basement fabric in two areas in the northern part of the Precambrian Borborema Province. Our investigation indicates a relation between the metamorphic basement foliation and two seismogenic faults. In the first area adjacent to the Transbrasiliano Lineament, the largest continental suture zone in the South American platform, the magnetic anomaly patterns indicate that the regional basement grain and structural elements are E-W-oriented, which coincides with the strike of the E-W-striking, strike-slip Riacho Fundo Seismogenic Fault. In the second area, the magnetic anomaly patterns also coincide with the NE-SW-striking, strike-slip Samambaia Fault, and a swarm of chalcedony-quartz veins. Euler deconvolution used to estimate the source depth of the magnetic anomalies indicates that the faults in both cases could be longer and deeper than segments illuminated by the present-day seismicity. Although these findings are difficult to use as predictive tools, they indicate that the basement fabric could be reactivated by seismicity in continental interiors, as previously discussed in several cases in Brazil. © 2020 Elsevier Ltd","Seismicity in the equatorial margin of Brazil reactivates the Precambrian basement fabric","Elsevier Ltd",True,"2021"
"34250708084","US subsea engineer Global Industries has received a letter of intent from Petrobras to install the 24-in. Camarupim gas pipeline in the Espirito Santo Basin offshore Brazil. The project, valued at ≈ $165 million, includes project planning, detailed engineering, and installation of 52 km of pipeline, and fabrication and installation of the pipeline-end manifold and tie-in spool. The offshore installation will be performed by Global's pipelay barge Iroquois.","Brazil: Global Industries' first project",NULL,True,"2007"
"84857324711","In the 90's, after success in drilling wells deeper than 5,000 meters with high production rates between 80 to 120 MMSCFD of production, Petrobras decided to continuously measure pressure on their high productivity wells (7"" production tubing) because of the difficulty they experienced when running gauges in the production mode after the wells were completed. Therefore, the decision was made to use permanent electronic gauges to obtain downhole pressure as it was a proven technology and optical sensing technology (fiber optics) was new to the industry. At that time, four wells in the San Antonio and San Alberto fields were completed with electronic gauges with different results....one did not work, one failed at the beginning, one failed months later, and one worked intermittently. Petrobras' objective to have real time downhole pressure did not change, and they planned for the next workovers of their wells to use optical sensing technology instead of electronic gauges. These specifications were required on their next bid, and the four wells were assigned to Weatherford International. Since that time, this technology is working in the four wells in the San Antonio and San Alberto fields, and there have only been small problems on surface equipment connections, which were corrected promptly. Because of this success, Petrobras decided last year to implement optical sensing technology in all of their new wells because it was the only proven technology that could support the high vibration, produced by the 7'' tubing wells, and high temperature. The decision was taken one step further to install fiber optic downhole flowmeters on the intelligent completion wells. The use of this technology, complemented with the online PanSystem™ well test analysis software, enables real time well testing. Copyright 2010, Society of Petroleum Engineers.","Phase implementation to real time well testing using fiber optical sensing technology, San Alberto San Antonio fields: Case study - Part I",NULL,True,"2011"
"85043324954","This work introduces a description of the complex upwelling regime off the Cabo Frio region in Brazil and shows that ocean modeling, based on the feature-oriented regional modeling system (FORMS) technique, can produce reliable predictions of sound speed fields for the corresponding shallow water environment. This work also shows, through the development of simulations, that the upwelling regime can be responsible for the creation of shadow coastal zones, in which the detection probability is too low for an acoustic source to be detected. The development of the FORMS technique and its validation with real data, for the particular region of coastal upwelling off Cabo Frio, reveals the possibility of a sustainable and reliable forecast system for the corresponding (variable in space and time) underwater acoustic environment. © 2018 Acoustical Society of America.","Upwelling regime off the Cabo Frio region in Brazil and impact on acoustic propagation","Acoustical Society of America",True,"2018"
"80052069671","In this study, the geochemical analysis of ten sediment samples collected along the fluvial system of the Estrela River, which flows into the northern portion of Guanabara Bay, shows the presence of anthropogenic impacts in this area. Concentrations of Fe, Mn, Zn, Cu, Pb, Cr and Ni obtained were slightly higher, when compared with values found in natural environments. The particle size and organic matter content in most of the analyzed stations showed features not conducive to the accumulation of pollutants due to the low organic matter content and the strong presence of sand fraction. There was also the fractionation of heavy metals in sediments and it was found the prominence of residual and reducible phase, besides the significant occurrence of organic fractions in some analyzed stations. These factors, thus, highlight the potential risks of contamination, where the metals associated with the organic phase can become bioavailable in processes of dissolution, provided by physico-chemical changes that can occur in this aquatic environment.","Study of heavy metal concentration and partitioning in the Estrela River: Implications for the pollution in Guanabara Bay-SE Brazil",NULL,True,"2011"
"20736039","On December 23, 1982, only 30 days after the 18,600-ton Cherne II jacket was launched. Micoperi completed grouting in all of the 24 pile sleeves. This established a record for the Brazilian state oil company in jacket installation. The structure is located in 142-m water in Campos Basin. In establishing this record, the piles were driven to maximum penetration of 110 m. The jacket, designed by Interconsult (Micoperi), presented a new concept for steel jackets using vertical external skirt piles. The concept eliminated the need for pile guides and enabled the 160-m-long piles to be installed and driven in a single piece. This permitted fast installation in an area of the open South Atlantic subject to severe seas of long period swells almost the entire year. The concept also reduces both overall weight and fabrication time.","PETROBRAS STREAMLINES JACKET INSTALLATION.",NULL,True,"1983"
"23699043","The feasibility of the construction of concrete platforms for deep water locations (130 m) offshore Brazil, was investigated. A large depth of water is not available near the coast in Brazil, and a construction method was devised to overcome this difficulty. The design incorporates storage tanks and is less costly than a steel structure.","A concrete offshore platform for Brazilian conditions.","Pentech Press Ltd",True,"1988"
